id,Name,titleProject_id,class,score
78,Бороданова Маргарита Дмитриевна,118,7г,4.0
79,Циркина Виолетта Федоровна,231,9г,3.1
80,Болохина Екатерина Андреевна,194,11д,4.222
81,Чукалова Дарья Валерьевна,20,10г,3.5
82,Беловолов Степан Петрович,222,9д,3.438
83,Зудейкина Вероника Ивановна,166,8и,3.474
84,Макунова Мария Борисовна,47,9в,3.5
85,Верзанский Геннадий Андреевич,497,7д,3.4
86,Алтубин Ярослав Леонидович,414,10г,3.5
87,Аузин Игорь Алексиевич,435,8х,3.25
88,Калыгин Степан Тимофеевич,353,8и,3.474
89,Дурныгина Полина Игоревна,72,8и,3.474
90,Антюфеева Александра Вадимовна,347,8и,3.474
91,Лощинский Борис Романович,210,10б,3.429
92,Ходорков Евгений Виталиевич,344,9г,3.1
93,Кафорин Федор Данилович,427,10д,3.312
94,Косынская Алиса Дмитриевна,40,9в,3.5
95,Беремцев Артём Антонович,434,11т,3.6
96,Влянская Мария Андреевна,490,7т,2.6
97,Мыгеева Лиза Василевна,280,8в,3.875
98,Акутникова Мария Алексеевна,173,11в,3.222
99,Карябкин Константин Максимович,89,7и,3.438
100,Прилепина Яна Максимовна,30,10в,3.455
101,Ведищев Никита Георгиевич,365,7и,3.438
102,Самчева Вероника Борисовна,287,10г,3.5
103,Пирцхалова Карина Леонидовна,452,10г,3.5
104,Павлочев Денис Борисович,432,11д,4.222
105,Арашкова Екатерина Евгеньевна,356,8х,None
106,Байсарова Людмила Василевна,215,11и,3.375
107,Кудекина Зинаида Игоревна,250,10и,3.667
108,Дерналов Виталий Викторович,1,9г,3.1
109,Сазинова Галина Романовна,61,9и,3.533
110,Остаченова Марина Эдуардовна,229,9т,3.722
111,Битюкова Яна Егоровна,488,9и,3.533
112,Иваницкий Константин Борисович,232,8д,3.667
113,Белянский Владислав Игоревич,74,11б,3.583
114,Баранкин Артём Алексеевич,382,9т,3.722
115,Шкабанова Софья Вадимовна,499,9х,3.2
116,Полозлов Денис Адамович,155,8т,4.0
117,Жунина Светлана Михайловна,162,8в,3.875
118,Пантыкин Борис Игоревич,245,9х,3.2
119,Доутова Марина Богдановна,189,11х,3.818
120,Трещалова Яна Андреевна,330,8б,3.6
121,Ивашечкин Александр Данилович,390,10т,2.8
122,Мазьянова Инна Богдановна,416,11в,3.222
123,Корогев Николай Евгеньевич,184,8б,3.6
124,Заидова Галина Максимовна,88,9т,3.722
125,Рамхин Кирилл Алексиевич,459,9х,3.2
126,Кизбабаев Эдуард Фёдорович,415,11т,3.6
127,Соурчаков Ярослав Валериевич,268,8б,3.6
128,Мотяшева Алена Михайловна,404,7т,2.6
129,Горшкова Наталия Яковлевна,340,11а,3.583
130,Зябрицкий Игорь Виталиевич,332,7а,3.25
131,Шельдяев Игорь Юриевич,97,7д,3.4
132,Шмелькин Максим Викторович,483,9т,3.722
133,Жалкин Алексей Алексеевич,43,7а,3.25
134,Худасов Денис Максимович,70,10д,3.312
135,Швичкова Наталья Эдуардовна,398,7г,4.0
136,Едская Жанна Валерьевна,436,11в,3.222
137,Поморзина Полина Евгеньевна,122,7д,3.4
138,Будачева Кира Олеговна,55,11х,3.818
139,Молкаев Василий Валериевич,216,8д,3.667
140,Яцынин Константин Тимофеевич,285,7г,4.0
141,Маховиков Василий Петрович,391,7х,3.786
142,Шаметова Евгения Вадимовна,463,7а,3.25
143,Законнова Жанна Евгеньевна,442,11и,None
144,Перчихин Аркадий Тимофеевич,164,10т,2.8
145,Бурдасова Ксения Игоревна,203,9а,3.6
146,Киссин Степан Иванович,251,7х,3.786
147,Вапилина Мария Егоровна,77,7д,3.4
148,Сигутина Дарья Федоровна,458,7б,3.75
149,Сошьяков Альберт Фёдорович,17,7т,2.6
150,Лугахина Клара Вадимовна,419,8в,3.875
151,Логецкий Анатолий Виталиевич,372,11б,3.583
152,Ковайкова Юлия Егоровна,75,10г,3.5
153,Вермутский Валерий Петрович,447,9и,3.533
154,Россомахов Олег Юриевич,56,8в,3.875
155,Циплакова Екатерина Егоровна,471,9б,3.118
156,Квятцева Алла Никитична,138,11в,3.222
157,Выхухолева Лариса Василевна,384,8б,3.6
158,Целохов Андрей Вадимович,433,8и,3.474
159,Бендин Иван Яковлевич,71,8и,3.474
160,Лазученков Василий Алексеевич,381,7х,3.786
161,Скоропухов Михаил Василиевич,69,10и,3.667
162,Мухонкин Тарас Романович,126,9и,3.533
163,Камерцев Владимир Кириллович,303,7а,3.25
164,Сандрыкина Анна Олеговна,324,10т,2.8
165,Недбайлов Алексей Денисович,15,7т,2.6
166,Серпков Ярослав Георгиевич,380,10б,3.429
167,Хатшуклов Аркадий Николаевич,42,11т,3.6
168,Литвалиева Алиса Егоровна,10,11и,3.375
169,Енесина Лиза Валерьевна,293,9б,3.118
170,Пикальков Эдуард Алексиевич,21,8д,3.667
171,Сачинский Валентин Кириллович,125,10т,2.8
172,Тарзанова Евгения Аркадьевна,96,9д,3.438
173,Лапундин Юрий Игоревич,267,8и,3.474
174,Личева Лиза Михайловна,453,9б,3.118
175,Смароверов Яков Борисович,131,11в,3.222
176,Вереина Алла Василевна,295,10и,3.667
177,Погиблева Дарья Леонидовна,283,9в,3.5
178,Байнова Анастасия Вадимовна,363,7б,3.75
179,Шиловский Вячеслав Максимович,438,9и,3.533
180,Сыждиков Пётр Василиевич,494,11х,3.818
181,Каценова Алёна Эдуардовна,165,11т,3.6
182,Мужицких Ева Олеговна,348,8х,3.25
183,Плеснецов Степан Юрьевич,22,10а,3.529
184,Игумнова Алёна Сергеевна,114,9д,3.438
185,Хадаров Владимир Валериевич,278,11т,3.6
186,Ступакова Кира Ивановна,421,8и,3.474
187,Шоленинов Федор Максимович,286,11т,3.6
188,Гундаров Руслан Николаевич,158,9д,3.438
189,Гречишева Марина Андреевна,464,7д,3.4
190,Утилова Алена Андреевна,253,11д,4.222
191,Роткичева Алиса Максимовна,410,10а,3.529
192,Колтышева Марина Вадимовна,87,11г,3.385
193,Гурычева Лариса Валерьевна,489,9б,3.118
194,Горцева Кристина Никитична,246,8и,3.474
195,Кутурин Геннадий Денисович,197,9в,3.5
196,Стефанков Яков Евгеньевич,318,10г,3.5
197,Множина Людмила Василевна,90,8б,3.6
198,Семисалов Георгий Иванович,316,9в,3.5
199,Рогалов Альберт Валериевич,327,9б,3.118
200,Черетаева Анастасия Олеговна,341,9б,3.118
201,Радоминова Любовь Игоревна,25,9и,3.533
202,Шувырина Лиза Андреевна,395,9а,3.6
203,Калиженков Семён Алексеевич,401,11а,3.583
204,Старокашин Константин Петрович,309,10а,3.529
205,Малтоцов Аркадий Яковлевич,218,8а,3.583
206,Кузеванова Ева Егоровна,116,7д,3.4
207,Нурулина Алёна Егоровна,284,9х,3.2
208,Лератов Герасим Сергеевич,374,10а,3.529
209,Людин Руслан Аркадиевич,498,7и,3.438
210,Пурин Виктор Данилович,154,8и,3.474
211,Лютов Виктор Юрьевич,288,11г,3.385
212,Марюшкина Яна Федоровна,345,10д,3.312
213,Томилова Кристина Михайловна,492,11б,3.583
214,Дистерев Валерий Валериевич,24,7г,4.0
215,Дочкин Геннадий Алексиевич,52,11и,3.375
216,Иняхин Руслан Сергеевич,234,7и,3.438
217,Знайкова Раиса Егоровна,148,11х,3.818
218,Кашавцев Аркадий Леонидович,58,7а,3.25
219,Пятернина Кристина Андреевна,445,7и,3.438
220,Гусеева Карина Викторовна,263,9и,3.533
221,Кастева Яна Сергеевна,108,7и,3.438
222,Гришанин Тарас Павлович,113,10т,2.8
223,Грамоткин Илья Викторович,195,8д,3.667
224,Мелисин Геннадий Василиевич,465,10г,3.5
225,Цинина Светлана Яковлевна,105,11г,3.385
226,Петов Георгий Адамович,57,9а,3.6
227,Реева Валентина Максимовна,146,11и,3.375
228,Слесивых Мария Аркадьевна,35,7и,3.438
229,Афтаева Полина Ивановна,193,10д,3.312
230,Кривицкий Валентин Виталиевич,208,8х,3.25
231,Чубатов Константин Леонидович,279,11а,3.583
232,Партенков Геннадий Павлович,418,8х,3.25
233,Черушев Григорий Борисович,84,7г,4.0
234,Тютекин Георгий Тимофеевич,262,7а,3.25
235,Янкевский Вячеслав Адамович,167,11г,3.385
236,Сухручкина Клавдия Аркадьевна,177,7в,3.429
237,Конофалова Клара Петровна,95,11д,4.222
238,Лигасов Михаил Павлович,491,11г,3.385
239,Писарьков Альберт Игоревич,313,8в,3.875
240,Варов Кирилл Иванович,28,8а,3.583
241,Пурынов Евгений Петрович,244,9и,3.533
242,Супрутская Вероника Викторовна,187,9а,3.6
243,Скроцкая Алина Федоровна,127,8г,3.417
244,Барадулин Вадим Юрьевич,281,11х,3.818
245,Точилин Дмитрий Фёдорович,476,8а,3.583
246,Бикмуллин Руслан Валериевич,333,11т,3.6
247,Серпичев Василий Алексиевич,394,10х,3.625
248,Вострышев Яков Аркадиевич,343,8г,3.417
249,Грушчева София Евгеньевна,480,11в,None
250,Кулапов Александр Юрьевич,109,9б,3.118
251,Чибисенков Владислав Фёдорович,375,8х,3.25
252,Утилов Роман Василиевич,254,9х,3.2
253,Татаурова Галина Федоровна,145,10т,2.8
254,Визавитина Наталия Леонидовна,101,10г,3.5
255,Мягченков Артём Денисович,115,7б,3.75
256,Брикова Инна Богдановна,256,9б,3.118
257,Наторкин Валентин Данилович,319,7и,3.438
258,Эштрекова Софья Алексеевна,76,9в,3.5
259,Кутаманова Кира Андреевна,182,10т,2.8
260,Кыштымова Евгения Эдуардовна,255,8в,3.875
261,Ккнязева Клавдия Дмитриевна,34,7б,3.75
262,Глаголина Алиса Никитична,249,9д,3.438
263,Рисина Раиса Валерьевна,451,10а,3.529
264,Ребров Алексей Георгиевич,289,8и,3.474
265,Вырысалова Александра Евгеньевна,39,11и,3.375
266,Гомольский Владимир Юриевич,314,11х,3.818
267,Швинова Марина Федоровна,271,8г,3.417
268,Рудковская Инна Дмитриевна,6,7т,2.6
269,Решеткина Дарья Василевна,408,10и,3.667
270,Евстихеев Игорь Василиевич,422,10х,3.625
271,Лазарина Алёна Федоровна,161,8б,3.6
272,Гляченков Григорий Николаевич,431,10а,3.529
273,Чардынцева Алина Вадимовна,135,10д,3.312
274,Скаредов Яков Иванович,337,9т,3.722
275,Юрицкий Эдуард Денисович,192,7д,3.4
276,Кравчина Светлана Аркадьевна,413,11г,3.385
277,Чмареткова Полина Вадимовна,449,10а,3.529
278,Углова Галина Романовна,260,9г,3.1
279,Згуровская Виктория Андреевна,220,9т,3.722
280,Секерский Станислав Сергеевич,235,10а,3.529
281,Жевайкин Евгений Адамович,86,11г,3.385
282,Коточигов Семён Игоревич,26,9д,3.438
283,Калонин Альберт Денисович,297,8б,3.6
284,Валягин Григорий Антонович,94,10в,3.455
285,Коцева Кристина Николаевна,412,9г,3.1
286,Голина Кристина Максимовна,3,7х,3.786
287,Батрамеев Анатолий Романович,354,9х,3.2
288,Чикмарев Валентин Валериевич,306,9и,3.533
289,Киницына Валерия Олеговна,202,7х,3.786
290,Числин Юрий Денисович,121,7в,3.429
291,Стебунова Юлия Романовна,358,9т,3.722
292,Кацов Павел Павлович,236,10г,3.5
293,Гоцев Тарас Викторович,41,8в,3.875
294,Мотовицкий Роман Аркадиевич,31,11и,3.375
295,Чурзина Клара Егоровна,308,10б,3.429
296,Щепалкина Валерия Сергеевна,134,9б,3.118
297,Утимишев Ярослав Игоревич,239,11а,3.583
298,Алуханов Кирилл Фёдорович,298,7т,2.6
299,Полунеев Валентин Валериевич,307,8и,3.474
300,Крупенова Наталия Андреевна,209,7в,3.429
301,Корнюшин Илья Юрьевич,44,10т,2.8
302,Паушева Виолетта Никитична,310,8г,3.417
303,Берзин Герасим Антонович,349,11т,3.6
304,Шулунова Алла Алексеевна,54,7д,3.4
305,Трепашова София Яковлевна,399,11а,3.583
306,Чумейкин Константин Антонович,8,8б,3.6
307,Польшиков Денис Игоревич,495,9и,3.533
308,Медоусова Жанна Романовна,252,7б,3.75
309,Акуратова Клавдия Андреевна,92,9г,3.1
310,Курмеева Елизавета Валерьевна,486,8а,3.583
311,Бадов Александр Аркадиевич,217,10г,3.5
312,Бакушин Эдуард Адамович,265,7б,3.75
313,Чебина Инна Сергеевна,273,10т,2.8
314,Подледнова Наталья Ивановна,112,11и,3.375
315,Садгеева Лиза Евгеньевна,460,11г,3.385
316,Акушин Борис Павлович,493,9т,3.722
317,Аришев Руслан Кириллович,379,10т,2.8
318,Гуслова Кристина Олеговна,389,9в,3.5
319,Глоточкина Оксана Аркадьевна,370,9и,3.533
320,Шапина Маргарита Романовна,163,8б,3.6
321,Дурылин Георгий Валериевич,261,11т,3.6
322,Болкисева Анна Викторовна,248,7х,3.786
323,Багапов Вячеслав Сергеевич,99,7д,3.4
324,Люцарева Яна Аркадьевна,376,11б,3.583
325,Боготынина София Егоровна,63,11б,3.583
326,Саюшкин Игорь Алексиевич,211,11х,3.818
327,Потешных Тамара Николаевна,468,11в,3.222
328,Незлина Жанна Василевна,426,8б,3.6
329,Федичева Вероника Кирилловна,37,7х,3.786
330,Пустынкин Вадим Антонович,388,10в,3.455
331,Аринакова Ирина Михайловна,150,8в,3.875
332,Обиралкова Мария Егоровна,294,11т,3.6
333,Аристарова Валентина Максимовна,443,11г,3.385
334,Яуров Герасим Юрьевич,38,9а,3.6
335,Духонькин Вячеслав Фёдорович,2,9в,3.5
336,Гвасков Евгений Михаилович,402,9в,3.5
337,Жабынина Галина Николаевна,185,7х,3.786
338,Шерюкова Виолетта Романовна,440,9б,3.118
339,Колокатов Пётр Евгеньевич,484,10в,3.455
340,Шайдуков Андрей Михаилович,317,9и,3.533
341,Смирнягина Дарья Игоревна,425,10в,3.455
342,Штырева Ева Олеговна,258,11и,3.375
343,Ашукин Вячеслав Михаилович,191,10т,2.8
344,Рубченкова Галина Алексеевна,190,9в,3.5
345,Зархин Иван Алексиевич,478,11и,3.375
346,Адиотов Дмитрий Павлович,156,7б,3.75
347,Тищенкова Раиса Валерьевна,79,7д,3.4
348,Лозеев Илья Петрович,205,10д,3.312
349,Кобяшов Герасим Михаилович,305,11т,3.6
350,Ронова Клавдия Валерьевна,107,7и,3.438
351,Стрижнов Алексей Евгеньевич,385,11г,3.385
352,Волынский Алексей Виталиевич,362,11т,3.6
353,Машонский Василий Данилович,23,9д,3.438
354,Буриева Зинаида Аркадьевна,104,11д,4.222
355,Борщина Алёна Ивановна,377,11а,3.583
356,Белчков Олег Иванович,275,10а,3.529
357,Остропиков Альберт Данилович,157,8г,3.417
358,Оргонова Любовь Максимовна,264,7б,3.75
359,Мальков Юрий Евгеньевич,228,7г,4.0
360,Свльхова Наталья Вадимовна,160,9т,3.722
361,Мякушков Герасим Леонидович,102,10т,2.8
362,Межуев Георгий Юриевич,355,8г,3.417
363,Чериншев Александр Сергеевич,439,8а,3.583
364,Муниров Алексей Андреевич,117,11г,3.385
365,Климухин Руслан Романович,269,10в,3.455
366,Дембская Екатерина Никитична,64,11б,3.583
367,Тюнеев Яков Фёдорович,417,10т,2.8
368,Трушитин Антон Данилович,168,9х,3.2
369,Балакишиев Роман Алексиевич,143,11х,3.818
370,Немтюрева Валерия Аркадьевна,12,10г,3.5
371,Складанова Клавдия Аркадьевна,257,9а,3.6
372,Заходина Полина Леонидовна,93,10д,3.312
373,Муринов Анатолий Борисович,171,11б,3.583
374,Гришалова Любовь Евгеньевна,301,8т,4.0
375,Ситчихин Станислав Георгиевич,247,8т,4.0
376,Просяных Георгий Василиевич,366,9в,3.5
377,Дзабиев Григорий Георгиевич,259,11д,4.222
378,Рыбаулин Григорий Алексеевич,140,11а,3.583
379,Тупиева Екатерина Ивановна,400,7д,3.4
380,Куверчева Алена Ивановна,170,10д,3.312
381,Цаблинова Виктория Богдановна,342,9г,3.1
382,Синенков Григорий Леонидович,230,9в,3.5
383,Лизункин Артур Олегович,4,11в,3.222
384,Славущева Александра Эдуардовна,81,8а,3.583
385,Шахвердов Дмитрий Антонович,132,11б,3.583
386,Рапацкая Ольга Ивановна,223,10г,3.5
387,Сторокожев Виталий Аркадиевич,159,9б,3.118
388,Половодов Кирилл Николаевич,18,8т,4.0
389,Халтанова Алена Дмитриевна,49,8б,3.6
390,Заложнев Роман Фёдорович,448,8в,3.875
391,Рыжих Кристина Аркадьевна,213,7а,3.25
392,Буров Руслан Игоревич,405,11и,3.375
393,Гачков Виталий Евгеньевич,277,9т,3.722
394,Кадилов Геннадий Борисович,225,10в,3.455
395,Гликина Алёна Эдуардовна,454,9б,3.118
396,Ичкинина Любовь Андреевна,299,8г,3.417
397,Мозшорина Кира Дмитриевна,65,8б,3.6
398,Брижеватов Константин Борисович,152,11т,3.6
399,Бучеров Тарас Викторович,429,10д,3.312
400,Мисютина Валерия Эдуардовна,368,9г,3.1
401,Льянов Федор Вадимович,328,8а,3.583
402,Щуркин Георгий Яковлевич,180,8в,3.875
403,Акулин Федор Адамович,241,10г,3.5
404,Волженкова Екатерина Ивановна,233,9д,3.438
405,Махометова София Викторовна,424,8и,3.474
406,Зызлов Геннадий Антонович,274,7в,3.429
407,Девляшова Кира Олеговна,51,11д,4.222
408,Яковкина Алена Никитична,320,9т,3.722
409,Бузулев Вадим Николаевич,331,10д,3.312
410,Ганельский Юрий Юриевич,474,9д,3.438
411,Шкапрова Ева Ивановна,371,7б,3.75
412,Чичирин Владимир Георгиевич,11,10а,3.529
413,Шилова Надежда Викторовна,124,9б,3.118
414,Коваев Руслан Михаилович,487,9т,3.722
415,Саверина Надежда Андреевна,407,11б,3.583
416,Тишанкин Олег Адамович,334,9д,3.438
417,Широпаев Валерий Сергеевич,406,9б,3.118
418,Щепанин Олег Адамович,226,7а,3.25
419,Оплетин Владислав Аркадиевич,361,10х,3.625
420,Оденова Карина Андреевна,409,8и,3.474
421,Семагин Альберт Андреевич,456,10х,3.625
422,Черданцева Анастасия Олеговна,128,8х,3.25
423,Лонцова Елизавета Эдуардовна,224,7х,3.786
424,Сарсекеева Алёна Никитична,462,11и,3.375
425,Аковецкий Антон Евгеньевич,500,8б,3.6
426,Аратский Станислав Борисович,351,9и,3.533
427,Чужриков Пётр Денисович,200,9в,3.5
428,Никитшин Алексей Кириллович,111,11и,3.375
429,Симендяев Василий Алексиевич,45,8д,3.667
430,Ошитков Максим Сергеевич,151,10г,3.5
431,Юрасов Евгений Романович,338,9и,3.533
432,Головяшин Павел Юриевич,179,7г,4.0
433,Манжурина Екатерина Сергеевна,219,7т,2.6
434,Никурашин Олег Евгеньевич,291,11х,3.818
435,Бехтерев Федор Вадимович,137,9х,3.2
436,Годлевская Катерина Дмитриевна,403,11г,3.385
437,Акиярова Алина Эдуардовна,9,11а,3.583
438,Милина Алена Петровна,359,8г,3.417
439,Воловин Борис Викторович,350,7т,2.6
440,Туморина Ксения Федоровна,133,8б,3.6
441,Желейков Вячеслав Яковлевич,199,8г,3.417
442,Шишорнина Екатерина Алексеевна,183,8т,4.0
443,Юумогулова Виолетта Игоревна,311,10х,3.625
444,Рецков Денис Денисович,85,10д,3.312
445,Химунина Елизавета Ивановна,392,7д,3.4
446,Кобрянов Александр Алексиевич,455,7т,2.6
447,Бирылов Тарас Данилович,243,11а,3.583
448,Туфатулин Ярослав Леонидович,485,8х,3.25
449,Долбишев Николай Аркадиевич,292,10б,3.429
450,Махтумова Алёна Эдуардовна,186,10б,3.429
451,Нарзаркин Алексей Романович,423,10т,2.8
452,Куранина Алена Леонидовна,196,9б,3.118
453,Ситюков Аркадий Евгеньевич,32,10в,3.455
454,Мизюрова Алиса Никитична,176,7г,4.0
455,Пандурова Алиса Дмитриевна,130,9б,3.118
456,Жилейкин Борис Тимофеевич,91,7в,3.429
457,Корпункова Виолетта Сергеевна,83,11а,3.583
458,Пашохонова Анастасия Федоровна,467,9в,3.5
459,Сузальцева Тамара Михайловна,357,8х,3.25
460,Чиличкина Светлана Яковлевна,5,8в,3.875
461,Шантыкова Карина Максимовна,198,10д,3.312
462,Недосекин Владислав Яковлевич,457,10а,3.529
463,Максимкин Федор Фёдорович,172,10г,3.5
464,Матбиюшина Виктория Игоревна,237,8д,3.667
465,Шишкунов Герасим Юрьевич,110,8т,4.0
466,Сухинин Георгий Алексиевич,475,10х,3.625
467,Бисеева Полина Романовна,48,7д,3.4
468,Жукулов Михаил Денисович,60,11г,3.385
469,Тоняев Герасим Петрович,378,9т,3.722
470,Шушенкова Алёна Олеговна,36,7и,3.438
471,Разроев Дмитрий Павлович,59,9а,3.6
472,Баззаев Анатолий Данилович,339,9д,3.438
473,Цекова Алла Олеговна,50,8д,3.667
474,Аборонова Алиса Алексеевна,444,7г,4.0
475,Ягловская Ева Олеговна,181,8в,3.875
476,Шароварова Яна Романовна,175,8а,3.583
477,Общев Яков Викторович,466,8а,3.583
478,Ойзерская Катерина Эдуардовна,120,7х,3.786
479,Прусский Ярослав Иванович,479,11б,3.583
480,Лабинов Павел Алексеевич,272,7б,3.75
481,Покровов Эдуард Павлович,312,8б,3.6
482,Мачехин Эдуард Данилович,19,7д,3.4
483,Кодорская Раиса Ивановна,27,11б,3.583
484,Кондраева Марина Ивановна,469,9д,3.438
485,Бульенков Валентин Иванович,136,10т,2.8
486,Тагакова Вероника Яковлевна,393,8т,4.0
487,Гершанова Любовь Евгеньевна,383,11т,3.6
488,Салина Алена Егоровна,73,11в,3.222
489,Фрумова Зинаида Аркадьевна,78,8а,3.583
490,Хорняков Борис Борисович,13,8г,3.417
491,Гдагазина Лиза Василевна,212,9т,3.722
492,Агаршев Ярослав Михаилович,276,9т,3.722
493,Корюшин Пётр Антонович,326,8х,3.25
494,Калаев Пётр Алексиевич,68,8а,3.583
495,Ккаталкина Виолетта Егоровна,53,7б,3.75
496,Рачнов Герасим Алексеевич,103,10а,3.529
497,Миндубаева Людмила Леонидовна,477,11и,3.375
498,Агафьева Вера Ивановна,352,11х,3.818
499,Житин Эдуард Адамович,481,9а,3.6
